bioguideId,name,terms,years_house,years_senate
M001190,"Mullin, Markwayne","{'item': [{'chamber': 'House of Representatives', 'endYear': 2023, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2023}]}",11,1
W000800,"Welch, Peter","{'item': [{'chamber': 'House of Representatives', 'endYear': 2023, 'startYear': 2007}, {'chamber': 'Senate', 'startYear': 2023}]}",17,1
F000479,"Fetterman, John","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}",0,1
S001227,"Schmitt, Eric","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}",0,1
V000137,"Vance, J. D.","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}",0,1
L000571,"Lummis, Cynthia M.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2021}]}",9,3
T000278,"Tuberville, Tommy","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}",0,3
W000790,"Warnock, Raphael G.","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}",0,3
B001319,"Britt, Katie Boyd","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}",0,1
O000174,"Ossoff, Jon","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}",0,3
C001098,"Cruz, Ted","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",0,11
B001305,"Budd, Ted","{'item': [{'chamber': 'House of Representatives', 'endYear': 2023, 'startYear': 2017}, {'chamber': 'Senate', 'startYear': 2023}]}",7,1
W000817,"Warren, Elizabeth","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",0,11
W000802,"Whitehouse, Sheldon","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}",0,17
Y000064,"Young, Todd","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2011}, {'chamber': 'Senate', 'startYear': 2017}]}",7,7
W000779,"Wyden, Ron","{'item': [{'chamber': 'House of Representatives', 'endYear': 1996, 'startYear': 1981}, {'chamber': 'Senate', 'startYear': 1996}]}",16,28
W000437,"Wicker, Roger F.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1995}, {'chamber': 'Senate', 'startYear': 2007}]}",13,17
T000476,"Tillis, Thomas","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}",0,9
W000805,"Warner, Mark R.","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}",0,15
T000250,"Thune, John","{'item': [{'chamber': 'House of Representatives', 'endYear': 2003, 'startYear': 1997}, {'chamber': 'Senate', 'startYear': 2005}]}",7,19
V000128,"Van Hollen, Chris","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2003}, {'chamber': 'Senate', 'startYear': 2017}]}",15,7
S001203,"Smith, Tina","{'item': [{'chamber': 'Senate', 'startYear': 2018}]}",0,6
S001198,"Sullivan, Dan","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}",0,9
S001191,"Sinema, Kyrsten","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2019}]}",7,5
T000464,"Tester, Jon","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}",0,17
S001184,"Scott, Tim","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2011}, {'chamber': 'Senate', 'startYear': 2013}]}",3,11
S001181,"Shaheen, Jeanne","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}",0,15
S000770,"Stabenow, Debbie","{'item': [{'chamber': 'House of Representatives', 'endYear': 2001, 'startYear': 1997}, {'chamber': 'Senate', 'startYear': 2001}]}",5,23
S001217,"Scott, Rick","{'item': [{'chamber': 'Senate', 'startYear': 2019}]}",0,5
S001194,"Schatz, Brian","{'item': [{'chamber': 'Senate', 'startYear': 2012}]}",0,12
R000595,"Rubio, Marco","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}",0,13
S000148,"Schumer, Charles E.","{'item': [{'chamber': 'House of Representatives', 'endYear': 1999, 'startYear': 1981}, {'chamber': 'Senate', 'startYear': 1999}]}",19,25
S000033,"Sanders, Bernard","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1991}, {'chamber': 'Senate', 'startYear': 2007}]}",17,17
R000618,"Ricketts, Pete","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}",0,1
R000615,"Romney, Mitt","{'item': [{'chamber': 'Senate', 'startYear': 2019}]}",0,5
R000608,"Rosen, Jacky","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2017}, {'chamber': 'Senate', 'startYear': 2019}]}",3,5
R000605,"Rounds, Mike","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}",0,9
P000595,"Peters, Gary C.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2015}]}",7,9
R000584,"Risch, James E.","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}",0,15
R000122,"Reed, Jack","{'item': [{'chamber': 'House of Representatives', 'endYear': 1997, 'startYear': 1991}, {'chamber': 'Senate', 'startYear': 1997}]}",7,27
P000145,"Padilla, Alex","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}",0,3
P000603,"Paul, Rand","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}",0,13
M001169,"Murphy, Christopher","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2007}, {'chamber': 'Senate', 'startYear': 2013}]}",7,11
M001111,"Murray, Patty","{'item': [{'chamber': 'Senate', 'startYear': 1993}]}",0,31
M001153,"Murkowski, Lisa","{'item': [{'chamber': 'Senate', 'startYear': 2003}]}",0,21
M001198,"Marshall, Roger","{'item': [{'chamber': 'House of Representatives', 'endYear': 2021, 'startYear': 2017}, {'chamber': 'Senate', 'startYear': 2021}]}",5,3
M001176,"Merkley, Jeff","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}",0,15
M000934,"Moran, Jerry","{'item': [{'chamber': 'House of Representatives', 'endYear': 2011, 'startYear': 1997}, {'chamber': 'Senate', 'startYear': 2011}]}",15,13
M000639,"Menendez, Robert","{'item': [{'chamber': 'House of Representatives', 'endYear': 2006, 'startYear': 1993}, {'chamber': 'Senate', 'startYear': 2006}]}",14,18
M000133,"Markey, Edward J.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 1977}, {'chamber': 'Senate', 'startYear': 2013}]}",37,11
M000355,"McConnell, Mitch","{'item': [{'chamber': 'Senate', 'startYear': 1985}]}",0,39
K000393,"Kennedy, John","{'item': [{'chamber': 'Senate', 'startYear': 2017}]}",0,7
K000383,"King, Angus S., Jr.","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",0,11
K000367,"Klobuchar, Amy","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}",0,17
L000577,"Lee, Mike","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}",0,13
M001183,"Manchin, Joe, III","{'item': [{'chamber': 'Senate', 'startYear': 2010}]}",0,14
L000575,"Lankford, James","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2011}, {'chamber': 'Senate', 'startYear': 2015}]}",5,9
L000570,"Lujan, Ben Ray","{'item': [{'chamber': 'House of Representatives', 'endYear': 2021, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2021}]}",13,3
H000273,"Hickenlooper, John W.","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}",0,3
K000377,"Kelly, Mark","{'item': [{'chamber': 'Senate', 'startYear': 2020}]}",0,4
H001079,"Hyde-Smith, Cindy","{'item': [{'chamber': 'Senate', 'startYear': 2018}]}",0,6
K000384,"Kaine, Tim","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",0,11
J000293,"Johnson, Ron","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}",0,13
H001061,"Hoeven, John","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}",0,13
H001042,"Hirono, Mazie K.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2007}, {'chamber': 'Senate', 'startYear': 2013}]}",7,11
H000601,"Hagerty, Bill","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}",0,3
H001089,"Hawley, Josh","{'item': [{'chamber': 'Senate', 'startYear': 2019}]}",0,5
H001076,"Hassan, Margaret Wood","{'item': [{'chamber': 'Senate', 'startYear': 2017}]}",0,7
G000555,"Gillibrand, Kirsten E.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2009, 'startYear': 2007}, {'chamber': 'Senate', 'startYear': 2009}]}",3,15
H001046,"Heinrich, Martin","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2013}]}",5,11
G000386,"Grassley, Chuck","{'item': [{'chamber': 'House of Representatives', 'endYear': 1981, 'startYear': 1975}, {'chamber': 'Senate', 'startYear': 1981}]}",7,43
G000359,"Graham, Lindsey","{'item': [{'chamber': 'House of Representatives', 'endYear': 2003, 'startYear': 1995}, {'chamber': 'Senate', 'startYear': 2003}]}",9,21
E000295,"Ernst, Joni","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}",0,9
F000463,"Fischer, Deb","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",0,11
D000622,"Duckworth, Tammy","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2017}]}",5,7
F000062,"Feinstein, Dianne","{'item': [{'chamber': 'Senate', 'startYear': 1992}]}",0,32
D000563,"Durbin, Richard J.","{'item': [{'chamber': 'House of Representatives', 'endYear': 1997, 'startYear': 1983}, {'chamber': 'Senate', 'startYear': 1997}]}",15,27
C001113,"Cortez Masto, Catherine","{'item': [{'chamber': 'Senate', 'startYear': 2017}]}",0,7
C001096,"Cramer, Kevin","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2019}]}",7,5
D000618,"Daines, Steve","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2015}]}",3,9
C001095,"Cotton, Tom","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2015}]}",3,9
C001056,"Cornyn, John","{'item': [{'chamber': 'Senate', 'startYear': 2002}]}",0,22
C000880,"Crapo, Mike","{'item': [{'chamber': 'House of Representatives', 'endYear': 1999, 'startYear': 1993}, {'chamber': 'Senate', 'startYear': 1999}]}",7,25
C001070,"Casey, Robert P., Jr.","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}",0,17
C001088,"Coons, Christopher A.","{'item': [{'chamber': 'Senate', 'startYear': 2010}]}",0,14
C001075,"Cassidy, Bill","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2015}]}",7,9
C001035,"Collins, Susan M.","{'item': [{'chamber': 'Senate', 'startYear': 1997}]}",0,27
C001047,"Capito, Shelley Moore","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2001}, {'chamber': 'Senate', 'startYear': 2015}]}",15,9
C000174,"Carper, Thomas R.","{'item': [{'chamber': 'House of Representatives', 'endYear': 1993, 'startYear': 1983}, {'chamber': 'Senate', 'startYear': 2001}]}",11,23
C000141,"Cardin, Benjamin L.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1987}, {'chamber': 'Senate', 'startYear': 2007}]}",21,17
B001310,"Braun, Mike","{'item': [{'chamber': 'Senate', 'startYear': 2019}]}",0,5
B001236,"Boozman, John","{'item': [{'chamber': 'House of Representatives', 'endYear': 2011, 'startYear': 2001}, {'chamber': 'Senate', 'startYear': 2011}]}",11,13
C000127,"Cantwell, Maria","{'item': [{'chamber': 'House of Representatives', 'endYear': 1995, 'startYear': 1993}, {'chamber': 'Senate', 'startYear': 2001}]}",3,23
B000944,"Brown, Sherrod","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1993}, {'chamber': 'Senate', 'startYear': 2007}]}",15,17
B001288,"Booker, Cory A.","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",0,11
B001277,"Blumenthal, Richard","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}",0,13
B001261,"Barrasso, John","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}",0,17
B001267,"Bennet, Michael F.","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}",0,15
B001230,"Baldwin, Tammy","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 1999}, {'chamber': 'Senate', 'startYear': 2013}]}",15,11
B001243,"Blackburn, Marsha","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2003}, {'chamber': 'Senate', 'startYear': 2019}]}",17,5
